Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
NPK,101,7.093602944190735e-05,-171.7897,-55.5232,-0.8375,12.9035,7.4257,6.4185,3.1123,-39.1371,-35.8146,13.8792,22.7758,10.4856,11.0264,20.2371,11.646,10.4413,2.1972,0.8375,0.1727
LNG,98,7.083832096323756e-05,-520.2057,-155.2179,-0.8234,8.5823,7.9625,8.1066,-46.0911,-53.3829,-18.934,-23.7008,21.7793,16.1651,42.171,43.9338,40.7609,28.2187,2.3979,0.8234,0.0262
HSY,136,6.97441245957225e-05,-692.5838,-111.5405,-0.6655,14.3459,7.9221,6.0612,16.7108,-41.4431,-39.3883,0.3338,58.8187,25.9848,41.9787,47.3198,26.131,17.6674,2.3979,0.6655,0.0892
EVRG,113,6.952168188896358e-05,-156.7733,-229.1621,-0.6334,10.203,4.9358,4.6385,-34.8989,-114.9275,-53.6155,6.722,12.6249,4.8859,7.2719,53.1975,25.7345,12.734,2.3026,0.6334,0.0037
TOYO,88,6.662161108589171e-05,-229.0614,-191.2551,-0.2149,13.7012,5.5436,24.256,11.2808,-65.3266,142.5602,183.6879,26.4112,8.5489,55.5612,12.3747,5.0069,18.6629,2.1972,0.2149,0.232
SARO,3,6.513242299609446e-05,-383.1632,-114.5739,,6.7199,3.6052,0.7192,-57.0658,-87.8156,-92.8078,15.3846,16.7508,7.1895,2.7558,14.8247,7.9535,1.2857,2.3026,,0.139
DEO,13,1.9462276510238803e-05,-1795.6694,-107.8801,-0.918,4.6851,1.6684,1.1958,-68.6456,-95.144,-88.0423,-0.1184,35.5115,10.117,21.4722,60.1284,21.4127,13.9768,2.3979,0.918,-0.014
STZ,13,1.4991517847735192e-05,-451.3016,-133.2732,-1.0126,12.1112,7.6674,-0.2057,-4.2394,-52.6874,-102.0572,2.2958,28.6279,14.4991,-0.9284,48.5046,30.7076,,2.3979,1.0126,-0.0432
CGEM,14,0.0,-77.5083,-12.8269,-1.1712,,-336.177,-29.2789,,-357.1014,-392.7888,,,-82.3279,-22.6936,,,,0.0,1.1712,-0.0077
PSEC,55,0.0,-56.5523,-325.7792,-0.94,,,-22.242,,,-322.4202,,,,-12.5784,,,,0.0,0.94,-0.1473
HRZN,55,0.0,-102.2488,-241.2828,-0.8567,,,-0.9675,,,-109.6747,,,,-0.9892,,,,1.9459,0.8567,-0.1836
NB,82,0.0,0.0,999999.0,,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,,,-265.2176,-49.3316,,,,0.0,,0.1527
SLF,72,0.0,-178.9744,-836.8712,-0.9197,,,7.4228,,,-25.7723,-5.1466,,,13.2849,,,10.0664,2.3979,0.9197,0.1105
SLQT,137,0.0,-105.6987,-151.1169,-1.8582,49.8673,5.7786,6.3797,582.5297,-104.7827,-36.2028,15.4957,63.6832,5.9036,6.7433,38.722,4.487,2.5422,2.3026,1.8582,-0.3182
