Ticker,Industry,Score,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BAB_1,HML_3,HML_5,UMD_3,UMD_12,IV0,IV1,IV2,Beta,Performance
NFGC,114,0.0029294907227606845,-0.3024,-22.7605,-13.7635,-94.323,-259.7861,-237.6349,,-1.8716,-112.7028,-60.409,,,,-1.0256,83.6991,,6.2857,-42.0561,,,,1.0256,1.5043
LIVN,16,0.0028685591277332325,37.1289,5.502,3.2909,215.2747,-61.1678,-67.091,8.6596,57.3309,6.7965,5.3511,69.4788,10.2958,5.6363,-1.1703,53.3703,6.2426,-20.3863,-24.6379,-68.3181,-51.525,56.8524,1.1703,0.2833
NREF,124,0.0028477308763705774,,,11.7972,,,17.9716,,,,6.807,,,98.5227,-0.8686,1.8033,-220.1178,-4.5934,26.3921,,,,0.8686,-0.0391
MRCC,71,0.0028387169232233006,,,5.2564,,,-47.4356,167.0448,,,4.2369,,,55.6722,-0.72,-1.8439,-122.8877,5.2826,39.4551,-39.7611,66.9383,788.5944,0.72,-0.0482
INO,79,0.0028308236428504783,999999.0,999999.0,-143.1821,,-1443.4537,-1531.8213,-73.8277,999999.0,999999.0,-125.2534,,,,-1.2163,96.3596,98.1605,-54.4828,-79.267,-567.3268,-523.2282,57.3055,1.2163,0.4972
RSVRW,133,0.002813827755745238,23.2326,8.043,11.6401,551.6428,-229.0836,16.4005,9.4563,13.8176,3.8268,2.1567,66.7771,23.1178,5.2074,-2.221,55.9322,,-9.7015,12.2449,-288.7672,-138.4834,781.3097,2.221,-0.125
CTSO,79,0.0028133984941847816,38.1742,-25.503,-32.5352,245.3382,-363.151,-425.3516,14.5072,115.1335,-61.5338,-161.4111,70.5895,,,-1.3139,68.9441,86.9281,6.0,11.6965,-243.6627,-307.7345,-60.9534,1.3139,-0.084
RNG,45,0.0027537835159351844,46.6617,0.0735,-1.6104,423.1437,-153.9207,-116.1042,9.373,230.4706,0.2905,999999.0,73.7809,0.1162,,-1.2755,78.6581,88.2471,-24.6557,-16.0024,-154.0779,-150.775,-103.8084,1.2755,0.0205
CME,70,0.002683866371039966,5.6195,4.1844,3.8843,-55.2928,-66.825,-61.1568,8.4955,19.6207,11.6882,13.7167,92.6541,68.9931,63.7568,-0.6943,-25.9176,-90.9503,10.9169,21.1622,-66.6219,-53.0824,-1.8026,0.6943,0.0436
MVO,95,0.0026505174646861674,,30.153,23.6057,,138.199,136.0571,2.8051,,546.4212,365.3014,,95.0316,76.0252,-0.7955,28.2406,-278.8365,-39.4774,-42.9185,144.441,271.4147,529.7306,0.7955,0.1111
SPRU,10,0.0026395339166321746,6.2532,-2.4868,-144.4184,-867.4069,-2081.0053,-1544.1839,2.815,5.4108,-1.7215,-38.359,51.3147,,,-1.0093,86.9458,97.3367,-2.3904,-41.247,-1915.6723,-1926.6676,-1676.4564,1.0093,0.4245
CNCK,55,0.002625472602480456,7.3759,-10.041,-9.6745,-54.3043,-238.8868,-196.745,71.2457,23.1422,-25.203,-99.2404,2.8168,,,-0.6705,43.4251,,-39.6583,-34.6004,-207.0924,-242.5664,633.6192,0.6705,-0.1441
TLYS,28,0.0026117626827248776,774.6817,-257.9685,-55.7445,1784.3473,-633.1951,-657.4452,-8.6072,276.3875,-73.6295,-36.4918,26.2879,,,-1.5292,75.9868,31.6143,-18.8034,-50.6494,-301.8026,-256.8799,139.3986,1.5292,-0.2877
EGBN,73,0.0026052400198265254,,,-3.8136,,,-138.1359,-1.1071,,,-1.9731,,,,-1.1579,56.0232,9.5292,-21.1745,4.047,-119.2701,-118.6877,-88.1951,1.1579,-0.0368
SLNH,45,0.0025641699311379053,15.8005,-31.6211,-818.6896,264.2803,-3532.9354,-8286.8961,80.4851,22.8988,-36.6615,-177.7268,24.7074,,,-2.1761,99.7935,96.7536,-66.8731,-66.4577,-2467.0232,-3540.5024,409.5881,2.1761,3.0893
COFS,73,0.0025361660083723556,,,10.5938,,,5.9382,14.415,,,10.165,,,28.637,-0.8581,-29.6492,-45.4239,-14.0077,26.0811,-4.2187,60.8822,516.1574,0.8581,-0.0171
SSSS,55,0.0025200995193896845,,,-24.7123,,,-347.1234,,,,-19.3558,,,,-1.1933,37.7315,-83.546,19.2661,51.1628,,,,1.1933,0.767
COE,102,0.0024844072250084976,0.5508,-0.1121,-0.0782,-95.2101,-100.4922,-100.7823,86.9795,999999.0,999999.0,999999.0,77.9768,,,-0.5941,-203.8462,82.2992,33.6219,179.7583,-100.184,-100.5586,-92.414,0.5941,0.7984
BLND,34,0.0024775295094417193,10.4958,-4.8859,-3.8126,-15.2202,-132.0313,-138.1263,3.2981,999999.0,999999.0,999999.0,55.8848,,,-1.5066,26.6667,,-38.8672,13.8182,-116.5532,-116.7497,-76.4733,1.5066,-0.0966
RLMD,19,0.002432327033245639,999999.0,999999.0,-699.825,,-6949.3246,-7098.25,,999999.0,999999.0,-180.1237,,,,-1.0753,98.9694,99.0677,-92.0973,-96.1765,,,,1.0753,5.7327
TRIN,55,0.0024115514817441984,,,10.5911,,,5.9112,40.9013,,,11.4971,,,53.9159,-0.7234,-26.5161,,18.7715,31.7826,21.4208,179.0032,1328.6091,0.7234,0.0158
MLKN,94,0.0023926861079903595,57.6007,7.9077,-1.3714,697.5049,-71.0229,-113.7136,1.1438,57.6418,6.3306,-1.3123,38.764,5.3217,,-1.16,38.4232,-7.9588,-16.2179,-25.3806,-96.8662,-81.2349,99.8987,1.16,-0.1187
SHBI,73,0.0023400172512904388,,,10.5128,,,5.1278,26.3364,,,8.6798,,,23.2842,-0.9597,26.2265,-70.655,-8.2931,39.9732,2.9793,126.4321,1353.6914,0.9597,0.1558
NOMD,107,0.0023186964844343285,21.4623,10.675,8.5638,118.1053,-24.0497,-14.3619,1.8164,21.1338,8.4093,8.35,29.6084,14.7268,7.1721,-0.6767,11.5539,-7.5908,6.4817,0.333,-50.2878,-35.6507,117.6889,0.6767,-0.3703
NMG,103,0.0023009505529773934,-4.7242,-36.8814,-18.2284,-99.4367,-285.0822,-282.2842,,-16.8769,-105.4046,-37.9469,,,,-1.1783,79.0503,,29.0323,-35.743,,,,1.1783,1.2267
ZK,9,0.0022903656382830193,2.8649,-1.4869,-1.0512,-78.3869,-113.7909,-110.5117,46.9108,999999.0,999999.0,999999.0,16.3971,,,,,,12.0618,,-109.3932,-112.2337,76.6785,,0.2176
LDI,55,0.0022117872281136406,,,-81.1978,,,-911.9776,5.6591,,,-38.3488,,,,-1.5657,69.802,,-27.4336,-40.5797,-528.8594,-590.9631,6.6436,1.5657,1.5164
CERS,45,0.0021916916077179705,37.6221,-5.3775,-6.3847,204.4222,-145.4712,-163.8468,15.2865,164.2196,-18.7779,-29.1845,55.2072,,,-1.6723,75.3086,69.0949,-13.6126,-24.3119,-127.3807,-137.1437,-32.9288,1.6723,0.1429
CTM,116,0.0021771632757877973,23.2531,-9.2224,-9.8926,84.303,-170.3008,-198.9259,-1.0586,98.3285,-31.1984,-39.2915,40.8053,,,,,,323.5294,260.0,-133.7864,-132.3458,-84.395,,-0.0548
EUDA,80,0.00206289012600038,0.5498,-1.8609,-10.2394,-96.146,-115.5411,-202.3937,8.2167,999999.0,999999.0,999999.0,19.0016,,,-0.5741,62.2967,,-10.6977,180.292,-109.0155,-110.713,-96.0869,0.5741,-0.2291
BRAG,94,0.0020443067618888936,63.3452,-3.6921,-6.0085,389.0331,-123.8907,-160.0855,9.0698,77.6386,-3.6201,-7.2926,52.9848,,,-0.9719,41.2518,-205.9259,47.1875,-16.341,-111.6634,-113.9444,-41.4731,0.9719,-0.2978
INUV,2,0.001992391979899464,149.1228,-11.4581,-9.1003,1039.841,-182.3461,-191.0034,13.3705,651.4448,-40.0439,-34.1603,85.6388,,,-1.5135,25.0,-80.0,13.8889,0.0,-146.7255,-158.6919,36.0541,1.5135,-0.0861
BGS,107,0.001962807099736779,17.1661,8.6833,-54.1629,187.9597,-153.7437,-641.6286,-6.2968,16.914,6.8446,-50.3818,21.8349,11.0449,,-0.7444,68.0047,44.8503,-0.0327,-38.7122,-276.2904,-277.3683,24.6118,0.7444,-0.332
FGBIP,131,0.0019165255815917403,,,5.6733,,,-43.2673,19.289,,,5.0205,,,11.4832,-0.4877,7.267,,-8.803,16.8001,-48.3277,3.2951,511.7974,0.4877,0.0826
SKY,63,0.0018956311698863973,13.4351,4.7958,3.7974,6.8191,-56.1829,-62.0256,22.6501,62.3517,17.8058,13.3313,26.7379,9.5445,8.2907,-1.3599,-70.9707,-657.0973,-2.6683,20.8299,-56.9457,-14.5013,460.2903,1.3599,-0.3232
KRMD,79,0.0018940493115559539,19.7735,-5.9753,-4.1394,53.5657,-136.0609,-141.394,17.9846,284.2776,-68.7242,-28.8515,63.4,,,-1.0931,9.5745,63.7269,-13.0653,63.9811,-115.951,-129.5636,-53.0255,1.0931,0.6824
ERO,82,0.0018720609934373567,9.7751,6.4228,-4.6737,-31.1801,-69.5405,-146.7368,8.9243,15.7983,8.3043,-10.2107,38.4092,25.2369,,-1.2809,19.9615,-71.4561,-22.4409,-33.3709,-79.3749,-53.8769,93.8978,1.2809,0.7113
CRUS,132,0.001855082969007857,21.8474,9.0009,6.9048,66.1365,-24.7572,-30.9521,5.9918,73.5806,24.2517,18.258,52.5315,21.6425,18.772,-1.2796,-17.3991,-59.0513,-3.3661,11.7773,-31.3961,-15.4395,63.3334,1.2796,0.1735
UCL,139,0.0018489023836080825,10.154,0.7412,0.7538,-17.4942,-87.6872,-92.4623,7.0803,999999.0,999999.0,16.3382,48.4105,3.5336,3.8553,-1.2237,31.4917,,-6.7647,-14.3243,-86.6333,-78.4537,-53.4924,1.2237,0.7177
AVAL,30,0.001831667353159352,,,1.0073,,,-89.9275,1.6186,,,7.5697,,,15.6314,-0.8411,26.3789,9.476,34.5279,19.5128,-91.8528,-90.8556,-80.3792,0.8411,0.3596
DBRG,124,0.0017295570045433978,14.8352,4.5146,8.444,34.1172,-116.6664,-15.5597,-25.196,17.4345,4.2445,5.4212,74.9726,22.8155,23.3668,-1.4359,68.5188,-48.5265,-14.3059,-38.5306,-141.5748,-142.6058,-90.5651,1.4359,0.2144
RVPH,19,0.001696617371326358,,-235.7147,-91.7003,,-994.6856,-1017.0031,,999999.0,999999.0,-2943.669,,,,-0.8145,77.2358,94.6667,20.0,-62.1053,,,,0.8145,0.1379
NVFY,62,0.0016421253105796615,82.0321,-103.5341,-93.71,607.1842,-1013.2598,-1037.0998,-12.6312,119.4345,-120.5922,-142.3804,43.8681,,,-1.1661,91.1565,88.2883,17.3913,-66.8712,-458.2319,-457.4,-69.2346,1.1661,7.2123
AREN,45,0.0016325715842985503,27.0304,4.3987,-6.6376,268.0064,-149.4252,-166.376,-12.3393,999999.0,999999.0,999999.0,44.2533,7.2013,,-0.769,81.2,77.512,9.5238,-10.5556,-162.5226,-138.1467,-26.8602,0.769,1.4202
